name,is_baseline,uses_predicted_rrp,uses_observed_rrp,mse_demand,mse_demand_mean,mse_demand_std,mse_demand_std_indep,rmse_demand_mean,mae_demand_mean,n_folds,runtime_sec,n_features,error
gbm__cal_temp_lag1-7_roll7__n300_depth3_lr0.05_sub1.0,False,False,False,19826824.55287864,19826824.55287864,7252194.805605485,6337284.922359996,4383.783049653122,3382.420787942518,10,11.84380891598994,21,
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,False,False,22906584.679872356,22906584.679872356,14199438.106489677,17922226.587437678,4606.370346071057,3514.4036714094736,10,44.23513225000352,24,
rf__cal_temp_apptemp_predRRP_lag1-7_roll7__n200_depthNone_leaf5_featsqrt,False,True,False,26861835.075090773,26861835.075090773,13816743.541029206,16240986.084345715,5047.593633935788,3873.407960714428,10,15.479070417000912,25,
rf__cal_temp_lag1-7_roll7__n200_depthNone_leaf5_featsqrt,False,False,False,28345329.111808665,28345329.111808665,12467213.626646874,10851657.840490192,5205.335606076387,3969.1416699984934,10,1.9734181249514222,21,
seasonal_naive_364,True,False,False,144198285.71054775,144198285.71054775,77945373.97209534,48620185.77016794,11584.132677045853,8551.345263888888,10,0.02288662496721372,0,
seasonal_naive_7,True,False,False,189018457.5910909,189018457.5910909,47350565.18371978,18174636.79957122,13651.547742545012,11294.100026961625,10,0.0353280829731375,0,
mlp__cal_temp_lag1-7_roll7__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter1000_earlystopTrue_valf0.15,False,False,False,270467108.7479028,270467108.7479028,245718324.56290498,316741827.8541892,14922.832760923377,11869.843937003903,10,114.03277966700261,21,
