name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,22347679.640604354,4727.333248312874,3777.906073932739,1.802288500010036,23,
rf__cal_temp_apptemp_lag1-7_roll7__n200_depthNone_leaf5_featsqrt_bootFalse,False,13108932.237917434,3620.6259455952413,2871.8124935638116,26074279.37109627,5106.298010407958,4074.336576613365,0.27879341700463556,24,
gbm__cal_temp_apptemp__n500_depth3_lr0.05_sub0.8_patience10_valf0.15,False,19492463.231291916,4415.026979678823,3508.254525149253,39456224.41949686,6281.41898136853,5057.662086923063,1.302017916998011,21,
mlp__cal_temp_apptemp__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter1000_earlystopTrue_valf0.15,False,44306944.35121631,6656.3461712275985,5155.395132893357,73826823.56967999,8592.253695607456,6571.741678747226,4.065745208004955,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007384541997453198,0,
ridge__cal_temp_apptemp__alpha10.0,False,92817546.3607464,9634.186336206416,7638.004831873206,113146923.62314549,10637.054273770793,8362.793033312162,0.0038161660049809143,21,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010196582996286452,0,
