name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.2854757079912815,24,
gbm__full__n300_depth3_lr0.05_sub1.0_losshuber,False,9615401.768376695,3100.871130565844,2338.804670376489,22883673.45701455,4783.688269213887,3863.9093668288388,2.1588529169966932,25,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007673625004827045,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010595040992484428,0,
mlp__cal_temp_apptemp_lag1-7__hls64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,972746848.330392,31188.889822024637,25083.77465198402,993752052.3993202,31523.83308545013,25346.203990721704,3.303139125011512,23,
mlp__cal_temp_lag1-7_roll7__hls64_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,12949453885.919336,113795.66725459865,113479.70458168481,11943821072.280901,109287.7901335776,108735.13105837916,1.5249065840034746,21,
mlp__cal_temp_lag1-7_roll7__hls64x32_acttanh_solveradam_alpha0.0001_lrinit0.001_iter500,False,14974593502.20201,122370.72158895693,121780.35761038384,13489392928.692501,116143.84584941425,115370.32594477151,2.7444119159918046,21,
