name,is_baseline,mse_demand,rmse_demand,mae_demand,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,1.8010341660119593,23,
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_featsqrt,False,13154763.327874346,3626.949589927374,2791.2991642078764,0.2821717499755323,20,
rf__cal_temp_lag1-7__n200_depthNone_leaf1_featlog2,False,14356032.02453654,3788.9354737889826,2933.599398333327,0.20184183306992054,20,
gbm__cal_temp_apptemp__n300_depth3_lr0.05_sub1.0_losshuber,False,19913236.874693986,4462.42499933545,3532.7646989373497,1.3451072090538219,21,
rf__cal_temp_apptemp__n200_depthNone_leaf10_featsqrt,False,25605704.783426095,5060.20797827778,3912.5591176134444,0.14127662498503923,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,0.002753624925389886,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,0.004328917013481259,0,
