name,is_baseline,uses_predicted_rrp,uses_observed_rrp,mse_demand,mse_demand_mean,mse_demand_std,mse_demand_std_indep,rmse_demand_mean,mae_demand_mean,n_folds,runtime_sec,n_features,error
gbm__full__n300_depth3_lr0.05_sub1.0,False,False,True,18091081.10888341,18091081.10888341,12018112.874439051,15895883.228423813,4101.423109433679,3191.5232515250036,10,15.388953166024294,25,
gbm__cal_temp_apptemp_lag1-7__n300_depth5_lr0.05_sub1.0,False,False,False,18517700.557762492,18517700.557762492,7837161.987387592,8810214.632434482,4225.133435734013,3269.240631443181,10,18.933396874985192,23,
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,False,False,22906584.679872356,22906584.679872356,14199438.106489677,17922226.587437678,4606.370346071057,3514.4036714094736,10,84.70163654204225,24,
rf__cal_temp_apptemp_predRRP_lag1-7_roll7__n200_depth10_leaf1_featsqrt,False,True,False,24291934.99827553,24291934.99827553,12054287.650445074,14387994.231608108,4810.201418443665,3740.831367284566,10,11.430463541008066,25,
mlp__full__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,False,True,117663368.39354594,117663368.39354594,185409946.64485684,196878233.72544307,8472.735946808238,3991.0308187081705,10,63.18765054200776,25,
seasonal_naive_364,True,False,False,144198285.71054775,144198285.71054775,77945373.97209534,48620185.77016794,11584.132677045853,8551.345263888888,10,0.02203429100336507,0,
seasonal_naive_7,True,False,False,189018457.5910909,189018457.5910909,47350565.18371978,18174636.79957122,13651.547742545012,11294.100026961625,10,0.03602679097093642,0,
