name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,3.934739125004853,24,
gbm__cal_temp_lag1-7_roll7__n300_depth5_lr0.05_sub1.0,False,11027505.093745252,3320.768750416875,2511.564709044716,22504541.163839858,4743.895146800765,3737.3756895249453,2.1164389999903506,21,
gbm__cal_temp_lag1-7_roll7__n300_depth3_lr0.05_sub1.0_losshuber,False,11807564.053878149,3436.21362168858,2563.243919234777,24283729.72841481,4927.852445885003,3888.3313633523785,1.9566110409941757,21,
gbm__cal_temp_apptemp_lag1-7__n500_depth3_lr0.05_sub0.8_patience10_valf0.15,False,12310940.464658642,3508.6949802823615,2705.7752386445813,22406501.54092035,4733.55062726917,3761.230790935794,0.903904999999213,23,
numpy_ols__full__alpha0.0,False,40051427.76577628,6328.6197362281355,5015.745511979241,48317414.707715385,6951.072917738339,5534.229307735374,0.005551291003939696,25,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007421374990371987,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010553875006735325,0,
