name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789703,3597.3077631458923,2677.827791067312,25477518.057958845,5047.5259343522785,3991.1765167219933,2.394345082997461,20,
rf__full_lag1-7-14_roll7-28__n200_depthNone_leaf10_featsqrt,False,17154955.638132673,4141.854130474982,3205.681321127012,29801368.84184424,5459.063000354936,4234.367070434069,0.25277058299980126,27,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007343959005083889,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010937665996607393,0,
mlp__cal_temp_apptemp_lag1-7-14_roll7-28__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,617965673.1814106,24858.91536615004,19730.183427165062,655714101.6946461,25606.91511476238,21270.028445343916,3.1907224169990513,26,
mlp__cal_temp_apptemp__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,964482907.2508109,31056.12511648565,25145.044697716738,969370536.0981392,31134.715930904833,25065.659201878396,3.189796208011103,21,
