name,is_baseline,uses_predicted_rrp,uses_observed_rrp,mse_demand,mse_demand_mean,mse_demand_std,mse_demand_std_indep,rmse_demand_mean,mae_demand_mean,n_folds,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,False,False,22906584.679872356,22906584.679872356,14199438.106489677,17922226.587437678,4606.370346071057,3514.4036714094736,10,52.86862220900366,24,
rf__cal_temp_apptemp_lag1-7__n200_depthNone_leaf1_featsqrt,False,False,False,24872607.993257206,24872607.993257206,10921882.397657886,12341798.499643194,4887.840181737925,3853.334311857924,10,2.9427120839827694,23,
rf__full__n500_depthNone_leaf5_featsqrt,False,False,True,26860745.510613102,26860745.510613102,13558611.793796962,15380636.759092474,5049.219218680885,3875.7504194934654,10,5.230614624975715,25,
seasonal_naive_364,True,False,False,144198285.71054775,144198285.71054775,77945373.97209534,48620185.77016794,11584.132677045853,8551.345263888888,10,0.024219874991104007,0,
seasonal_naive_7,True,False,False,189018457.5910909,189018457.5910909,47350565.18371978,18174636.79957122,13651.547742545012,11294.100026961625,10,0.04784912499599159,0,
mlp__cal_temp_apptemp_predRRP_lag1-7_roll7__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter1000_earlystopTrue_valf0.15,False,True,False,549131391.1192539,549131391.1192539,449218418.66616344,515879210.43546265,21393.7580286918,16973.961477333123,10,84.574217083049,25,
mlp__cal_temp_apptemp_predRRP_lag1-7_roll7__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter500,False,True,False,1321090979.6363897,1321090979.6363897,438184374.92400986,542701530.0289892,35881.247274865615,28772.77825696124,10,42.96542166697327,25,
