name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.971539917009068,24,
gbm__cal_temp_lag1-7_roll7__n300_depth3_lr0.05_sub1.0_featsqrt,False,11659684.321355373,3414.6279916493645,2599.54107207594,23866130.388131242,4885.297369468029,3871.942621429728,0.5378895830071997,21,
rf__full__n200_depth10_leaf1_featsqrt,False,12638646.015066776,3555.0873428182854,2783.4358576011296,26677858.380687673,5165.0613143202545,4124.712572298744,0.2335969170089811,25,
ridge__cal_temp_apptemp_lag1-7__alpha1.0,False,44189561.9698192,6647.522995057573,5211.128142121285,55357850.99642789,7440.28567975907,5856.8913282807225,0.005756416998337954,23,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.008545374992536381,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.011808208000729792,0,
mlp__full__hls64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,765696881.0588001,27671.228398081646,21999.359000782526,697818707.247271,26416.258388486265,21549.64477314434,2.298759291996248,25,
