name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.522326583988615,24,
mlp__cal_temp_apptemp_lag1-7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,9487838.06434208,3080.233443156879,2396.3050821629163,19863511.916952435,4456.849999377636,3542.4101773979705,3.589630542002851,23,
gbm__full__n300_depth5_lr0.05_sub1.0,False,9839318.71077574,3136.7688328558324,2397.307106053295,23579264.151997175,4855.848448211412,3879.0765380103066,2.5683731669996632,25,
gbm__cal_temp_lag1-7_roll7__n300_depth3_lr0.05_sub0.8,False,11704330.349991377,3421.1592114357054,2562.5857742820926,22915322.391058933,4786.995131714563,3768.7808419891326,1.0744173749990296,21,
rf__full__n200_depthNone_leaf10_featsqrt,False,15449248.41120801,3930.553194043812,3047.9715838745296,30708986.726069704,5541.568976929702,4371.704929652367,0.45426504100032616,25,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007961874987813644,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010991333008860238,0,
