name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,5.285586958008935,24,
gbm__cal_temp_apptemp_lag1-7_roll7__n300_depth3_lr0.05_sub1.0_losshuber,False,10623298.762093807,3259.3402341722176,2530.672146293342,19654496.29818846,4433.339181496094,3517.1423029085213,1.6766322910116287,24,
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,22347679.640604354,4727.333248312874,3777.906073932739,1.8572288750001462,23,
gbm__cal_temp_apptemp__n300_depth3_lr0.05_sub1.0_leaf10,False,20197149.960284293,4494.123936907425,3564.5503429950163,40058656.62791762,6329.190835163498,5094.195464354183,1.1070132500026375,21,
gbm__cal_temp_apptemp__n300_depth5_lr0.05_sub1.0,False,20235582.388495333,4498.397757923963,3543.1635734916485,41244355.42663263,6422.176844858184,5179.913354115543,1.9911287919967435,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007287540996912867,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.01126470799499657,0,
