name,is_baseline,mse_demand,rmse_demand,mae_demand,runtime_sec,n_features,error
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789703,3597.3077631458923,2677.827791067312,3.9548172909999266,20,
rf__full_lag1-7-14_roll7-28__n200_depthNone_leaf10_featsqrt,False,17154955.638132673,4141.854130474982,3205.681321127013,0.19122641696594656,27,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,0.004703416023403406,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,0.008077917038463056,0,
mlp__cal_temp_apptemp_lag1-7-14_roll7-28__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,617965673.1814106,24858.91536615004,19730.183427165062,2.187875415896997,26,
mlp__cal_temp_apptemp__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,964482907.2508109,31056.12511648565,25145.044697716738,1.9849632090190426,21,
