name,is_baseline,mse_demand,rmse_demand,mae_demand,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,1.8336884171003476,23,
rf__cal_temp_apptemp_lag1-7_roll7__n100_depthNone_leaf1_featsqrt,False,13278501.91391717,3643.9678804727646,2858.2744547222196,0.12956712499726564,24,
ridge__cal_temp_apptemp_lag1-7_roll7__alpha0.1,False,41122239.36516251,6412.662424076486,5095.233789054096,0.004061750019900501,24,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,0.0028207499999552965,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,0.004379417048767209,0,
mlp__cal_temp_apptemp__hls64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,964484423.8526167,31056.14953358862,25145.079605707335,2.9596687919693068,21,
mlp__cal_temp_lag1-7__hls32x16_actrelu_solveradam_alpha0.001_lrinit0.001_iter500,False,1377535182.9213955,37115.161092488815,30296.977161413142,0.6490368749946356,20,
