name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,3.668652042004396,24,
gbm__full__n300_depth3_lr0.05_sub1.0_featsqrt,False,10596921.35671683,3255.291286001428,2520.1477415678355,23293491.01995427,4826.33308216023,3904.969957531273,0.3770442499953788,25,
rf__cal_temp_lag1-7_roll7__n200_depthNone_leaf5_featsqrt_bootFalse,False,13334314.082575992,3651.618008852513,2825.113854792769,28415955.851721734,5330.661858692758,4267.842059093678,0.5026693330000853,21,
rf__cal_temp_lag1-7_roll7__n500_depthNone_leaf5_featsqrt,False,15176516.601286052,3895.7048914523866,3033.210506534248,29499617.614727136,5431.355044068389,4323.360987018096,0.42127333299140446,21,
numpy_ols__cal_temp_apptemp_lag1-7__alpha0.0,False,44457069.37976301,6667.613469582877,5224.605043914359,54684367.78528566,7394.887949474668,5821.585686275572,0.004384500003652647,23,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007409625002765097,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010338791995309293,0,
