name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,22347679.640604354,4727.333248312874,3777.906073932739,3.3707548750098795,23,
rf__cal_temp_apptemp_lag1-7_roll7__n100_depthNone_leaf1_featsqrt,False,13278501.91391716,3643.9678804727628,2858.2744547222196,25199493.080971837,5019.9096686067805,4026.484563698626,0.1436279170011403,24,
ridge__cal_temp_apptemp_lag1-7_roll7__alpha0.1,False,41122239.36516251,6412.662424076486,5095.233789054096,52890266.04714349,7272.569425391791,5730.1396419602925,0.004779666996910237,24,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.057975457995780744,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.027430667003500275,0,
mlp__cal_temp_apptemp__hls64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,964484423.8526167,31056.14953358862,25145.079605707335,969373447.2295263,31134.762681438995,25065.698651974042,3.689727042001323,21,
mlp__cal_temp_lag1-7__hls32x16_actrelu_solveradam_alpha0.001_lrinit0.001_iter500,False,1377535182.9213955,37115.161092488815,30296.977161413142,1479695802.157049,38466.81429696315,31397.491136748435,0.6769307499926072,20,
