name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,3.4385842909978237,24,
gbm__cal_temp_lag1-7_roll7__n300_depth3_lr0.05_sub1.0_leaf5,False,11781964.345939739,3432.4866126380944,2539.2005390973522,23616260.059984427,4859.656372623936,3836.0778131146053,1.2687708750017919,21,
rf__full__n200_depthNone_leaf5_featsqrt_bootFalse,False,12265753.29252603,3502.249747309011,2784.3655417498335,26926646.13979466,5189.089143558304,4142.873261749515,0.5362883329944452,25,
rf__full__n200_depthNone_leaf5_split10_featsqrt,False,13700519.963689985,3701.421343712437,2916.139629297159,28568860.298116706,5344.984592879264,4248.266800701256,0.19182274999911897,25,
rf__full__n200_depthNone_leaf5_featsqrt,False,13700519.963689985,3701.421343712437,2916.139629297159,28568860.29811671,5344.984592879264,4248.266800701256,0.19692129200848285,25,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.0076042080036131665,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010541084004216827,0,
