name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.581132666004123,24,
mlp__cal_temp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,9900628.730519367,3146.526454762357,2388.800377937009,21474925.858152688,4634.104644713225,3618.268171935748,4.489499875009642,21,
gbm__full__n300_depth3_lr0.05_sub0.8,False,9961681.1394758,3156.213101087409,2400.9168596258646,22560792.09529617,4749.820217155189,3844.621673545645,1.5870491670066258,25,
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf5,False,11364399.504770318,3371.1125025383412,2589.8161717471694,21474290.82993047,4634.036127387277,3720.756077940835,1.3383692920033354,23,
ridge__full__alpha0.1,False,39972006.71265726,6322.341869327952,5009.636443997991,48366731.28514261,6954.619420582452,5538.486230628301,0.1373620829981519,25,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.008047333001741208,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010901415997068398,0,
