name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.884659500006819,24,
gbm__full__n300_depth3_lr0.05_sub1.0_leaf10,False,9678954.12206831,3111.101753731033,2330.4987897680603,22827145.29563568,4777.776187269103,3850.1957485327853,1.8737361249950482,25,
rf__cal_temp_apptemp_lag1-7__n200_depthNone_leaf5_split10_featsqrt,False,15746433.21650801,3968.1775686715446,3127.2641931387943,30057222.354288373,5482.446748878494,4426.3974733457835,0.19652229201165028,23,
ridge__cal_temp_apptemp_lag1-7__alpha100.0,False,45556101.41620734,6749.526014188503,5214.345607568068,53865553.96622032,7339.31563336939,5780.500640963053,0.005559625002206303,23,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007606458995724097,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.01030154200270772,0,
mlp__cal_temp_lag1-7_roll7__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,356858957.9594914,18890.710890792103,15418.534921389337,461791474.2920445,21489.333965761816,17285.55004553158,2.151121625007363,21,
