name,is_baseline,mse_demand,rmse_demand,mae_demand,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,1.8277747080428526,23,
rf__cal_temp_apptemp_lag1-7_roll7__n200_depthNone_leaf5_featsqrt_bootFalse,False,13108932.23791744,3620.625945595242,2871.8124935638134,0.2154625830007717,24,
gbm__cal_temp_apptemp__n500_depth3_lr0.05_sub0.8_patience10_valf0.15,False,19492463.231291916,4415.026979678823,3508.254525149253,1.3088789579924196,21,
mlp__cal_temp_apptemp__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter1000_earlystopTrue_valf0.15,False,44306944.35121631,6656.3461712275985,5155.395132893357,5.544583250069991,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,0.002664041006937623,0,
ridge__cal_temp_apptemp__alpha10.0,False,92817546.3607464,9634.186336206416,7638.004831873206,0.004865750088356435,21,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,0.0042421669932082295,0,
