name,is_baseline,uses_predicted_rrp,uses_observed_rrp,mse_demand,mse_demand_mean,mse_demand_std,mse_demand_std_indep,rmse_demand_mean,mae_demand_mean,n_folds,runtime_sec,n_features,error
gbm__cal_temp_apptemp_predRRP_lag1-7_roll7__n300_depth3_lr0.05_sub1.0_losshuber,False,True,False,17247562.111891158,17247562.111891158,10407944.91503956,13332392.419400148,4020.518122605249,3093.8743326073113,10,30.949244750023354,25,
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,False,False,22906584.679872356,22906584.679872356,14199438.106489677,17922226.587437678,4606.370346071057,3514.4036714094736,10,110.37696504202904,24,
rf__cal_temp_apptemp_predRRP_lag1-7_roll7__n200_depthNone_leaf1_featsqrt,False,True,False,23744401.732814588,23744401.732814588,12714460.662272476,15839291.6778248,4742.881578043748,3679.5342564267,10,13.296947083959822,25,
seasonal_naive_364,True,False,False,144198285.71054775,144198285.71054775,77945373.97209534,48620185.77016794,11584.132677045853,8551.345263888888,10,0.04043516697129235,0,
seasonal_naive_7,True,False,False,189018457.5910909,189018457.5910909,47350565.18371978,18174636.79957122,13651.547742545012,11294.100026961625,10,0.04747191700153053,0,
mlp__cal_temp_apptemp_lag1-7__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter1000_earlystopTrue_valf0.15,False,False,False,572196679.6884811,572196679.6884811,419611924.77532107,490061357.158507,22258.688665713424,17880.174728113583,10,172.21479075000389,23,
mlp__full__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter1000_earlystopTrue_valf0.15,False,False,True,628030100.5972779,628030100.5972779,491853234.15392166,493734362.3285082,22983.721325087517,17822.437992036303,10,128.54161529202247,25,
