name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,3.9085594579955796,24,
gbm__full__n300_depth3_lr0.05_sub1.0_leaf5,False,9098276.732459098,3016.334983462397,2262.560218903512,23148119.40142791,4811.249255799154,3870.4928572524277,1.8089012090058532,25,
rf__cal_temp_apptemp_lag1-7__n200_depthNone_leaf5_featsqrt_bootFalse,False,14275933.901063945,3778.350685294305,2978.631034655838,28514731.16503367,5339.918647791712,4311.081281818072,0.2783017500041751,23,
mlp__full__hls128x64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,17427612.556216393,4174.639212700469,3175.944533802411,33782899.997719996,5812.305910541873,4600.61376916543,4.960890375004965,25,
ridge__cal_temp_lag1-7_roll7__alpha10.0,False,41715136.54835568,6458.725613335473,5098.394293070238,53949344.048642404,7345.021718731838,5871.641679592479,0.01103629199496936,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007474540994735435,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010344458001782186,0,
