name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,22347679.640604354,4727.333248312874,3777.906073932739,1.8371075830073096,23,
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_featsqrt,False,13154763.327874346,3626.949589927374,2791.2991642078764,24972956.486471683,4997.29491689971,3970.7004055907937,0.2832559590024175,20,
rf__cal_temp_lag1-7__n200_depthNone_leaf1_featlog2,False,14356032.02453653,3788.9354737889807,2933.5993983333265,30147301.845040526,5490.655866564624,4446.8851507534355,0.22219212500203867,20,
gbm__cal_temp_apptemp__n300_depth3_lr0.05_sub1.0_losshuber,False,19913236.874693986,4462.42499933545,3532.7646989373497,40946012.66634194,6398.907146250986,5156.018059179652,1.3538632499985397,21,
rf__cal_temp_apptemp__n200_depthNone_leaf10_featsqrt,False,25605704.783426106,5060.207978277781,3912.5591176134462,47995114.6674716,6927.850652797851,5709.368134523387,0.16716670799360145,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.0077080420014681295,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.011071958011598326,0,
