name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,22347679.640604354,4727.333248312874,3777.906073932739,1.6490412499988452,23,
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,11289212.421436565,3359.9423241235204,2586.1253787292867,21501930.245069165,4637.0173867551075,3701.8223335214866,1.3411015000019688,23,
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789703,3597.3077631458923,2677.827791067312,25477518.057958845,5047.5259343522785,3991.1765167219933,1.404347042000154,20,
rf__cal_temp_apptemp_lag1-7__n100_depthNone_leaf1_featsqrt,False,13939362.029426511,3733.545503864458,2963.3817558333303,28241570.98744,5314.279912409583,4302.366245068491,0.14074175000132527,23,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007738625005003996,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010487082996405661,0,
mlp__cal_temp__hls64_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,13500715102.818956,116192.57765803699,115745.94120442557,12105619520.980879,110025.54031215151,109383.53626809148,1.2050628339929972,18,
