name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,7.462136666988954,24,
rf__cal_temp_lag1-7_roll7__n200_depthNone_leaf5_split10_featsqrt,False,15362699.634883774,3919.5279862355587,3052.1071966639274,29899769.908957057,5468.068206319034,4344.848928178459,0.5160380000015721,21,
ridge__cal_temp_lag1-7_roll7__alpha0.1,False,41778705.283570066,6463.644891512069,5112.396616625119,54211504.90111612,7362.846249998442,5861.182461164109,0.005991167010506615,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.008379000006243587,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.01865929200721439,0,
mlp__cal_temp_apptemp_lag1-7__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,973520305.627928,31201.28692262433,25095.228375808958,994564597.9782282,31536.718249973765,25356.250470471485,3.059440707991598,23,
mlp__full__hls64x32_acttanh_solveradam_alpha0.0001_lrinit0.001_iter500,False,14974332716.89059,122369.65602995944,121779.28688461374,13489145867.77051,116142.7822456932,115369.25520843231,4.330458084004931,25,
