run_id,timestamp_utc,candidate_name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,n_train,n_val,n_test,error,protocol,mse_demand_mean,mse_demand_std,mse_demand_std_indep,rmse_demand_mean,rmse_demand_std,mae_demand_mean,mae_demand_std,mse_demand_test_mean,mse_demand_test_std,n_folds,uses_predicted_rrp,uses_observed_rrp
af72ba6d,2026-05-04T05:29:39.654127+00:00,seasonal_naive_7,True,141138183.6274827,11880.15924251366,9762.271280820696,207834241.3248137,14416.45730839632,12113.128072003376,0.0109376659966073,0,1561,180,365,,,,,,,,,,,,,,
af72ba6d,2026-05-04T05:29:39.654127+00:00,seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639777,0.0073439590050838,0,1561,180,365,,,,,,,,,,,,,,
af72ba6d,2026-05-04T05:29:39.654127+00:00,gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789705,3597.3077631458923,2677.827791067312,25477518.057958845,5047.5259343522785,3991.1765167219937,2.394345082997461,20,1550,180,365,,,,,,,,,,,,,,
af72ba6d,2026-05-04T05:29:39.654127+00:00,mlp__cal_temp_apptemp_lag1-7-14_roll7-28__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,617965673.1814106,24858.91536615004,19730.183427165062,655714101.6946461,25606.91511476238,21270.028445343916,3.1907224169990513,26,1529,180,365,,,,,,,,,,,,,,
af72ba6d,2026-05-04T05:29:39.654127+00:00,mlp__cal_temp_apptemp__hls64x32_actrelu_solveradam_alpha0.01_lrinit0.001_iter500,False,964482907.2508107,31056.12511648565,25145.044697716738,969370536.0981392,31134.715930904833,25065.659201878396,3.189796208011103,21,1557,180,365,,,,,,,,,,,,,,
af72ba6d,2026-05-04T05:29:39.654127+00:00,rf__full_lag1-7-14_roll7-28__n200_depthNone_leaf10_featsqrt,False,17154955.638132673,4141.854130474982,3205.681321127012,29801368.84184424,5459.063000354936,4234.367070434069,0.2527705829998012,27,1529,180,365,,,,,,,,,,,,,,
e03f22e1,2026-05-04T05:30:20.000679+00:00,seasonal_naive_7,True,141138183.6274827,11880.15924251366,9762.271280820696,207834241.3248137,14416.45730839632,12113.128072003376,0.0110060409933794,0,1561,180,365,,,,,,,,,,,,,,
e03f22e1,2026-05-04T05:30:20.000679+00:00,seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639777,0.0076044579909648,0,1561,180,365,,,,,,,,,,,,,,
e03f22e1,2026-05-04T05:30:20.000679+00:00,gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789705,3597.3077631458923,2677.827791067312,25477518.057958845,5047.5259343522785,3991.1765167219937,1.459113625009195,20,1550,180,365,,,,,,,,,,,,,,
e03f22e1,2026-05-04T05:30:20.000679+00:00,ridge__cal_temp__alpha10.0,False,99085751.35230345,9954.182605935228,7905.766420273258,119863911.47019714,10948.237824882925,8635.60110928787,0.0118704170017736,18,1557,180,365,,,,,,,,,,,,,,
