name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.389667916999315,24,
gbm__full__n500_depth3_lr0.05_sub0.8_patience10_valf0.15,False,9692545.351299893,3113.2852987318547,2379.4528804755037,23049720.54949124,4801.012450462011,3911.363256738459,1.5425143750035204,25,
rf__cal_temp_apptemp_lag1-7__n200_depthNone_leaf1_feat1.0,False,12495152.13693551,3534.84824807735,2776.291377638895,29344721.755893175,5417.076864499264,4284.611292534246,1.0114277500106255,23,
ridge__full__alpha0.01,False,40041905.86358813,6327.867402497316,5015.064270492546,48322371.687231645,6951.429470780211,5534.601725274136,0.004256250002072193,25,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007548416004283354,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010559959002421238,0,
mlp__full__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter500,False,765706421.9123511,27671.400794183715,21999.437254643984,697820304.1195369,26416.288613647772,21549.73068974582,2.8758340000058524,25,
