name,is_baseline,mse_demand,rmse_demand,mae_demand,runtime_sec,n_features,error
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836525,3351.8584059945797,2601.408759083337,1.658320749993436,23,
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,11289212.421436565,3359.9423241235204,2586.1253787292867,1.318594333017245,23,
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789703,3597.3077631458923,2677.827791067312,1.453269499936141,20,
rf__cal_temp_apptemp_lag1-7__n100_depthNone_leaf1_featsqrt,False,13939362.029426504,3733.5455038644573,2963.381755833329,0.11996920907404274,23,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,0.002741666976362467,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,0.0042699589394032955,0,
mlp__cal_temp__hls64_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,13500715102.818956,116192.57765803699,115745.94120442557,1.2615641249576584,18,
