name,is_baseline,uses_predicted_rrp,uses_observed_rrp,mse_demand,mse_demand_mean,mse_demand_std,mse_demand_std_indep,rmse_demand_mean,mae_demand_mean,n_folds,runtime_sec,n_features,error
gbm__cal_temp_apptemp_predRRP_lag1-7_roll7__n300_depth5_lr0.05_sub1.0,False,True,False,16983345.99940248,16983345.99940248,9693883.471232459,11698184.75943242,3998.519819731201,3036.894306558871,10,29.21331254200777,25,
gbm__cal_temp_apptemp_predRRP_lag1-7_roll7__n500_depth3_lr0.05_sub0.8_patience10_valf0.15,False,True,False,17000918.542396784,17000918.542396784,11658650.047328008,15457191.86775454,3967.0837635880343,3043.5388616906394,10,19.899509000009857,25,
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,False,False,22906584.679872356,22906584.679872356,14199438.106489677,17922226.587437678,4606.370346071057,3514.4036714094736,10,51.17050599999493,24,
rf__cal_temp_apptemp_lag1-7__n500_depthNone_leaf5_featsqrt,False,False,False,27563946.736780774,27563946.736780774,11348834.062287241,11935167.41292421,5153.514349164605,4012.2082237966665,10,4.672385249985382,23,
seasonal_naive_364,True,False,False,144198285.71054775,144198285.71054775,77945373.97209534,48620185.77016794,11584.132677045853,8551.345263888888,10,0.02219770895317197,0,
seasonal_naive_7,True,False,False,189018457.5910909,189018457.5910909,47350565.18371978,18174636.79957122,13651.547742545012,11294.100026961625,10,0.034396792005281895,0,
mlp__cal_temp_lag1-7_roll7__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter500,False,False,False,928862637.4730909,928862637.4730909,417048911.22702974,504022875.39719313,29729.976451179053,23824.056402343405,10,34.939264332992025,21,
