name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.066507625000668,24,
gbm__cal_temp_lag1-7_roll7__n500_depth3_lr0.03_sub0.8,False,11849405.622270143,3442.296562219784,2570.392596362072,22910543.385914773,4786.495940237991,3789.2667810536313,1.8277552499930607,21,
gbm__cal_temp_lag1-7_roll7__n500_depth3_lr0.05_sub0.8_patience10_valf0.15,False,12342938.78518127,3513.251881829891,2623.7019764537526,23073139.256251015,4803.450765465492,3787.8081861909063,1.4476362910063472,21,
rf__cal_temp_lag1-7_roll7__n200_depth10_leaf1_featsqrt,False,13676998.808954109,3698.2426649632,2861.8357891760184,29007662.775014445,5385.876230940927,4334.128800478784,0.20271404199593235,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007471790988347493,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010473333008121699,0,
mlp__cal_temp_lag1-7_roll7__hls32x16_actrelu_solveradam_alpha0.001_lrinit0.001_iter500,False,1783827560.4878168,42235.38280266697,34231.80281259333,1913038522.7861187,43738.29583769947,36277.57753793047,0.6499322500021663,21,
