name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789703,3597.3077631458923,2677.827791067312,25477518.057958845,5047.5259343522785,3991.1765167219933,1.459113625009195,20,
gbm__cal_temp__n300_depth3_lr0.05_sub1.0_leaf10,False,24428516.840317685,4942.521303982177,3748.821911803641,46243151.38019335,6800.231715183929,5440.727861523541,0.9730655000021216,18,
numpy_ols__cal_temp_apptemp_lag1-7__alpha10.0,False,44255984.61763791,6652.5171640243,5207.407750712483,55595709.45602233,7456.253043990818,5863.757468228348,0.0038862910005263984,23,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007604457990964875,0,
ridge__cal_temp__alpha10.0,False,99085751.35230345,9954.182605935228,7905.766420273258,119863911.47019714,10948.237824882923,8635.60110928787,0.011870417001773603,18,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.011006040993379429,0,
mlp__cal_temp__hls64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,627337326.4594045,25046.702905959588,20341.511921905687,683829490.0905871,26150.133653398163,20650.23179411353,2.1730276250018505,18,
