name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.985106417007046,24,
gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0,False,11375319.691453652,3372.731784689327,2611.479726150445,21444958.271394957,4630.8701419274275,3719.5940702141506,1.626273667003261,23,
rf__cal_temp_apptemp_lag1-7__n200_depthNone_leaf5_featsqrt,False,15746433.216508025,3968.1775686715464,3127.264193138797,30057222.354288388,5482.446748878496,4426.397473345785,0.2174325000087265,23,
ridge__full__alpha100.0,False,41686240.11324857,6456.488218315632,4973.69063819426,47782490.22850891,6912.487991201787,5520.756652331898,0.01466329199320171,25,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007444125003530644,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010346250011934899,0,
mlp__cal_temp_apptemp_lag1-7__hls64_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,12833061071.104218,113283.10143664066,112929.56645724193,11595211379.31608,107681.06323451715,107104.28584903384,1.4381538750021718,23,
