name,is_baseline,mse_demand,rmse_demand,mae_demand,runtime_sec,n_features,error
gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789703,3597.3077631458923,2677.827791067312,1.4155642499681562,20,
gbm__cal_temp__n300_depth3_lr0.05_sub1.0_leaf10,False,24428516.840317685,4942.521303982177,3748.821911803641,0.9833545000292361,18,
numpy_ols__cal_temp_apptemp_lag1-7__alpha10.0,False,44255984.61763791,6652.5171640243,5207.407750712483,0.007767917006276548,23,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,0.002738625044003129,0,
ridge__cal_temp__alpha10.0,False,99085751.35230345,9954.182605935228,7905.766420273258,0.010909291915595531,18,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,0.00474629201926291,0,
mlp__cal_temp__hls64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,627337326.4594045,25046.702905959588,20341.511921905687,2.1249800830846652,18,
