name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,error
mlp__cal_temp_apptemp_lag1-7_roll7__hls128x64_actrelu_solveradam_alpha0.001_lrinit0.01_iter500,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.847303707996616,24,
rf__cal_temp_apptemp_lag1-7__n200_depthNone_leaf1_featlog2,False,13318085.899057256,3649.395278543728,2905.198619027783,27893106.500661716,5281.3924774307125,4288.638557260282,0.48376583300705533,23,
numpy_ols__full__alpha1.0,False,39872300.55698444,6314.451722595117,4994.7877844370405,48646583.17486269,6974.710257413041,5556.901144594692,0.004139708005823195,25,
numpy_ols__cal_temp_lag1-7_roll7__alpha10.0,False,41692247.72526305,6456.953439917547,5125.198214608215,54574383.99381793,7387.447732053198,5891.233809079181,0.004630249997717328,21,
seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.007406000004266389,0,
seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.010286500008078292,0,
mlp__cal_temp_apptemp_lag1-7__hls64x32_actrelu_solveradam_alpha0.001_lrinit0.001_iter500,False,973519199.0630785,31201.26918993967,25095.21734648559,994564400.9981217,31536.715126945637,25356.245343982257,2.281043957991642,23,
