run_id,timestamp_utc,candidate_name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,n_train,n_val,n_test,error
controlled,2026-05-10T05:47:11.497913+00:00,seasonal_naive_7,True,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.01192095800070092,0,1561,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.008089041999483015,0,1561,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_A1_cal_lag,False,19971783.925567023,4468.980188540449,3464.401302597417,57972019.144591145,7613.935851095092,5678.655501615857,9.456043582998973,10,1554,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_A2_cal_temp_lag,False,10065437.517734569,3172.607368984471,2421.5921569890647,22220155.480616834,4713.825991762618,3664.6891870640306,6.32862125000247,20,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_A3_+apparent_temp,False,9487838.06434208,3080.233443156879,2396.3050821629163,19863511.916952435,4456.849999377636,3542.4101773979705,10.357466875000682,23,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_A4_+rolling7,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,8.20541137499822,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_A5_+RRP_full,False,10340669.179115564,3215.6910888820717,2500.8968081832204,27719174.383189887,5264.900225378434,4274.217462769563,6.478355750004994,25,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_B1_numpy_ols,False,41065609.77604744,6408.245452231636,5082.455382025131,53218668.682362676,7295.112657276972,5748.716249669845,0.004905833993689157,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_B2_ridge,False,40971563.86261176,6400.903363011487,5073.096479334173,53183574.09777936,7292.706911550701,5748.865231524463,2.511371208995115,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_B3_rf,False,14373526.781638898,3791.2434347637054,2966.7351981476363,27593743.69098368,5252.974746844276,4172.98328528035,3.4356865829977323,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_B4_mlp_champ,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.415491833999113,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_B5_gbm,False,10564233.849169677,3250.266735080319,2453.2396369790877,19593190.395920474,4426.419591037487,3535.0211157823583,1.5965606660029152,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_C1_lr0.001,False,182452109.26730782,13507.483454267409,10910.564872137089,228061678.87723207,15101.71112414855,11976.103141843272,4.565827791993797,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_C2_lr0.005,False,10678433.595179295,3267.787262839993,2478.0461026031257,21940066.313360173,4684.022450134091,3700.1774741449226,4.3518079169953126,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_C3_lr0.01,False,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.740209499999764,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_C4_lr0.02,False,10306467.432041358,3210.3687377062092,2473.36443381858,20919800.45693475,4573.816836837123,3656.166810660568,3.2283325829994283,24,1550,180,365,
controlled,2026-05-10T05:47:11.497913+00:00,controlled_C5_lr0.05,False,8712446.184511714,2951.6853125819007,2211.6838218970724,20170309.134277996,4491.136730748463,3576.4671664056036,3.1328712079994148,24,1550,180,365,
